FTR_NM,RPT_DT
HOBBIES_SPORT_CT_TXN_1M,2023-01-16
HOBBIES_SPORT_SM_AMT_12M,2023-01-16
HOBBIES_SPORT_SM_AMT_1M,2023-01-16
INACTIVE,2023-01-16
INSURANCE_CT_TXN_12M,2023-01-16
INSURANCE_SM_AMT_12M,2023-01-16
INSURANCE_SM_AMT_1M,2023-01-16
LIFE_STG,2023-01-16
LOR,2023-07-31
PROFESSION,2023-01-16
PUBLIC_SERVICE_HEALTHCARE_CT_TXN_12M,2023-01-16
PUBLIC_SERVICE_HEALTHCARE_CT_TXN_1M,2023-01-16
PUBLIC_SERVICE_HEALTHCARE_SM_AMT_12M,2023-01-16
PUBLIC_SERVICE_HEALTHCARE_SM_AMT_1M,2023-01-16
REACTIVATED,2023-01-16
SACOMBANK_PAY_CROSS_SELL_LABEL1,2023-01-16
SACOMBANK_PAY_CROSS_SELL_LABEL2,2023-01-16
SERVICE_CT_TXN_12M,2023-01-16
SERVICE_CT_TXN_1M,2023-01-16
SERVICE_SM_AMT_12M,2023-01-16
SERVICE_SM_AMT_1M,2023-01-16
SHOPPING_CT_TXN_12M,2023-01-16
SHOPPING_CT_TXN_1M,2023-01-16
SHOPPING_SM_AMT_12M,2023-01-16
SHOPPING_SM_AMT_1M,2023-01-16
TOI,2023-07-31
TOI_CARD_Y1,2023-01-16
TOI_LST_YR,2023-07-31
TRAVEL_CT_TXN_12M,2023-01-16
TRAVEL_CT_TXN_1M,2023-01-16
TRAVEL_SM_AMT_12M,2023-01-16
TRAVEL_SM_AMT_1M,2023-01-16
UTILITIES_CT_TXN_12M,2023-01-16
UTILITIES_CT_TXN_1M,2023-01-16
UTILITIES_SM_AMT_12M,2023-01-16
UTILITIES_SM_AMT_1M,2023-01-16
VEHICLES_CT_TXN_12M,2023-01-16
VEHICLES_CT_TXN_1M,2023-01-16
VEHICLES_SM_AMT_12M,2023-01-16
VEHICLES_SM_AMT_1M,2023-01-16
